geo_point_2d;geo_shape;nom_dept;nom_com;insee_com;nom_station;code_station;typologie;influence;nom_poll;id_poll_ue;valeur;unite;metrique;date_debut;date_fin;statut_valid;code_epci
47.837765,1.944658;"{""coordinates"": [1.944658, 47.837765], ""type"": ""Point""}";Loiret;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;PM2.5;6001;5.2;µg/m3;horaire;2023-08-17T03:00:00+02:00;2023-08-17T03:59:59+02:00;1;244500468
47.837765,1.944658;"{""coordinates"": [1.944658, 47.837765], ""type"": ""Point""}";Loiret;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;PM2.5;6001;5.2;µg/m3;horaire;2023-08-16T16:00:00+02:00;2023-08-16T16:59:59+02:00;1;244500468
47.837765,1.944658;"{""coordinates"": [1.944658, 47.837765], ""type"": ""Point""}";Loiret;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;PM2.5;6001;5.3;µg/m3;horaire;2023-08-15T04:00:00+02:00;2023-08-15T04:59:59+02:00;1;244500468
47.837765,1.944658;"{""coordinates"": [1.944658, 47.837765], ""type"": ""Point""}";Loiret;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;PM2.5;6001;5.4;µg/m3;horaire;2023-08-16T08:00:00+02:00;2023-08-16T08:59:59+02:00;1;244500468
47.837765,1.944658;"{""coordinates"": [1.944658, 47.837765], ""type"": ""Point""}";Loiret;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;PM2.5;6001;5.7;µg/m3;horaire;2023-08-17T04:00:00+02:00;2023-08-17T04:59:59+02:00;1;244500468
47.837765,1.944658;"{""coordinates"": [1.944658, 47.837765], ""type"": ""Point""}";Loiret;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;PM2.5;6001;6.4;µg/m3;horaire;2023-08-17T05:00:00+02:00;2023-08-17T05:59:59+02:00;1;244500468
47.837765,1.944658;"{""coordinates"": [1.944658, 47.837765], ""type"": ""Point""}";Loiret;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;PM2.5;6001;7.9;µg/m3;horaire;2023-08-18T07:00:00+02:00;2023-08-18T07:59:59+02:00;1;244500468
47.837765,1.944658;"{""coordinates"": [1.944658, 47.837765], ""type"": ""Point""}";Loiret;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;PM2.5;6001;8.9;µg/m3;horaire;2023-08-18T09:00:00+02:00;2023-08-18T09:59:59+02:00;1;244500468
47.837765,1.944658;"{""coordinates"": [1.944658, 47.837765], ""type"": ""Point""}";Loiret;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;PM2.5;6001;9.1;µg/m3;horaire;2023-08-18T11:00:00+02:00;2023-08-18T11:59:59+02:00;1;244500468
47.837765,1.944658;"{""coordinates"": [1.944658, 47.837765], ""type"": ""Point""}";Loiret;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;PM2.5;6001;10.7;µg/m3;horaire;2023-08-17T08:00:00+02:00;2023-08-17T08:59:59+02:00;1;244500468
47.837765,1.944658;"{""coordinates"": [1.944658, 47.837765], ""type"": ""Point""}";Loiret;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;O3;7;13.4;µg/m3;horaire;2023-08-16T00:00:00+02:00;2023-08-16T00:59:59+02:00;1;244500468
47.837765,1.944658;"{""coordinates"": [1.944658, 47.837765], ""type"": ""Point""}";Loiret;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;O3;7;14.4;µg/m3;horaire;2023-08-16T05:00:00+02:00;2023-08-16T05:59:59+02:00;1;244500468
47.837765,1.944658;"{""coordinates"": [1.944658, 47.837765], ""type"": ""Point""}";Loiret;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;O3;7;19.7;µg/m3;horaire;2023-08-15T23:00:00+02:00;2023-08-15T23:59:59+02:00;1;244500468
47.837765,1.944658;"{""coordinates"": [1.944658, 47.837765], ""type"": ""Point""}";Loiret;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;O3;7;29.0;µg/m3;horaire;2023-08-16T08:00:00+02:00;2023-08-16T08:59:59+02:00;1;244500468
47.837765,1.944658;"{""coordinates"": [1.944658, 47.837765], ""type"": ""Point""}";Loiret;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;O3;7;37.3;µg/m3;horaire;2023-08-16T09:00:00+02:00;2023-08-16T09:59:59+02:00;1;244500468
47.837765,1.944658;"{""coordinates"": [1.944658, 47.837765], ""type"": ""Point""}";Loiret;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;O3;7;40.1;µg/m3;horaire;2023-08-17T03:00:00+02:00;2023-08-17T03:59:59+02:00;1;244500468
47.837765,1.944658;"{""coordinates"": [1.944658, 47.837765], ""type"": ""Point""}";Loiret;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;O3;7;41.3;µg/m3;horaire;2023-08-18T09:00:00+02:00;2023-08-18T09:59:59+02:00;1;244500468
47.837765,1.944658;"{""coordinates"": [1.944658, 47.837765], ""type"": ""Point""}";Loiret;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;O3;7;42.3;µg/m3;horaire;2023-08-16T22:00:00+02:00;2023-08-16T22:59:59+02:00;1;244500468
47.837765,1.944658;"{""coordinates"": [1.944658, 47.837765], ""type"": ""Point""}";Loiret;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;O3;7;43.2;µg/m3;horaire;2023-08-17T05:00:00+02:00;2023-08-17T05:59:59+02:00;1;244500468
47.837765,1.944658;"{""coordinates"": [1.944658, 47.837765], ""type"": ""Point""}";Loiret;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;O3;7;43.8;µg/m3;horaire;2023-08-15T09:00:00+02:00;2023-08-15T09:59:59+02:00;1;244500468
47.837765,1.944658;"{""coordinates"": [1.944658, 47.837765], ""type"": ""Point""}";Loiret;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;O3;7;48.4;µg/m3;horaire;2023-08-14T23:00:00+02:00;2023-08-14T23:59:59+02:00;1;244500468
47.837765,1.944658;"{""coordinates"": [1.944658, 47.837765], ""type"": ""Point""}";Loiret;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;O3;7;49.3;µg/m3;horaire;2023-08-16T10:00:00+02:00;2023-08-16T10:59:59+02:00;1;244500468
47.837765,1.944658;"{""coordinates"": [1.944658, 47.837765], ""type"": ""Point""}";Loiret;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;O3;7;49.4;µg/m3;horaire;2023-08-18T04:00:00+02:00;2023-08-18T04:59:59+02:00;1;244500468
47.837765,1.944658;"{""coordinates"": [1.944658, 47.837765], ""type"": ""Point""}";Loiret;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;O3;7;55.6;µg/m3;horaire;2023-08-15T11:00:00+02:00;2023-08-15T11:59:59+02:00;1;244500468
47.837765,1.944658;"{""coordinates"": [1.944658, 47.837765], ""type"": ""Point""}";Loiret;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;O3;7;61.0;µg/m3;horaire;2023-08-18T02:00:00+02:00;2023-08-18T02:59:59+02:00;1;244500468
47.837765,1.944658;"{""coordinates"": [1.944658, 47.837765], ""type"": ""Point""}";Loiret;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;O3;7;64.1;µg/m3;horaire;2023-08-18T11:00:00+02:00;2023-08-18T11:59:59+02:00;1;244500468
47.837765,1.944658;"{""coordinates"": [1.944658, 47.837765], ""type"": ""Point""}";Loiret;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;O3;7;66.9;µg/m3;horaire;2023-08-18T01:00:00+02:00;2023-08-18T01:59:59+02:00;1;244500468
47.837765,1.944658;"{""coordinates"": [1.944658, 47.837765], ""type"": ""Point""}";Loiret;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;O3;7;68.9;µg/m3;horaire;2023-08-18T00:00:00+02:00;2023-08-18T00:59:59+02:00;1;244500468
47.837765,1.944658;"{""coordinates"": [1.944658, 47.837765], ""type"": ""Point""}";Loiret;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;O3;7;70.3;µg/m3;horaire;2023-08-16T14:00:00+02:00;2023-08-16T14:59:59+02:00;1;244500468
